Neo Reference ID,Name,Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Est Dia in M(min),Est Dia in M(max),Est Dia in Miles(min),Est Dia in Miles(max),Est Dia in Feet(min),Est Dia in Feet(max),Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Orbit ID,Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Hazardous
3444370,3444370,22.4,0.0880146521,0.1968067451,88.0146520901,196.8067450894,0.0546897524,0.122290004,288.7619911632,645.6914415591,790761600000,22.4213663146,80716.918732587,50154.3543091455,0.2010399884,78.2045516968,30075154,18687834,12,6,0.000317965,7.033,2458000.5,0.4758194774081160,0.8138767249034950,23.18568668072360,117.1112240445540,268.18616502096,0.4266183269852850,220.9403707579690,1.201135122821710,2457996.360392770000,5.556806412851550,1.342351123786960,FALSE
3448992,3448992,25.8,0.0183888672,0.0411187571,18.388867207,41.1187571041,0.0114263088,0.0255500032,60.3309310875,134.9040630575,790761600000,17.2746114639,62188.6012700346,38641.5783835946,0.4310155871,167.6650543213,64479012,40065400,23,4,0.00186378,5.122,2458000.5,0.2048406780030450,1.240789317594740,13.7442332087249,161.933518574421,504.8303955012960,0.9866251925197000,13.92021256207250,1.494953442669790,2457935.033370720000,46.68495944704710,0.7131107857372970,FALSE
3611400,3611400,25.0,0.02658,0.0594346868,26.58,59.4346868419,0.0165160412,0.0369309908,87.2047272,194.9956979785,790761600000,12.1185099534,43626.6358322947,27107.8949147945,0.3598014121,139.9627532959,53825524,33445630,5,6,0.0187898,6.384,2458000.5,0.326860711970322,0.9302337444493960,8.333753551706270,20.49127086505550,327.7076361182720,0.626176880439848,128.46312989278,1.234290608458940,2457939.712985570000,66.77697673554130,1.098540163006990,FALSE
2162854,2162854,19.1,0.4023045798,0.8995803882,402.3045798343,899.5803881691,0.2499803991,0.5589731654,1319.8969577037,2951.3793207207,792230400000,10.8299262895,38987.734642195,24225.4621169794,0.4306559914,167.525177002,64425220,40031976,42,0,0.214004,4.862,2458000.5,0.1493579627014400,1.32292378805863,21.26523155355710,122.4368331936930,555.777121989752,1.125334586264920,297.7298536948960,1.520512989852340,2457976.984646120000,15.23187454710150,0.6477416679390380,FALSE
3446396,3446396,18.8,0.4619074603,1.0328564805,461.9074602816,1032.8564805039,0.2870159005,0.6417870641,1515.4444719902,3388.6368554964,792230400000,39.6053279147,142579.1804929070,88593.1580123846,0.3009631412,117.0746612549,45023444,27976272,26,0,0.102643,3.242,2458000.5,0.8610933305709990,1.982738584288130,10.02263604097740,163.2099234123560,1019.756809422010,0.2754156130918370,199.3714586963140,3.690061555484420,2457894.226448100000,37.51725738061910,0.3530253455272790,FALSE
3764806,3764806,25.2,0.0242412481,0.0542050786,24.2412481101,54.2050786336,0.0150628086,0.0336814639,79.5316564495,177.8381901842,792230400000,25.2112885836,90760.6389007836,56395.1314325452,0.4959739922,192.933883667,74196656,46103664,4,6,0.0119773,6.890,2458000.5,0.4416943551013880,0.8375570081279070,19.76759210755230,243.614950945384,279.9754763169040,0.4676128055622030,41.6483224835708,1.20750121069361,2457925.367527340000,96.60735473164920,1.285826904326850,FALSE
3314405,3314405,20.0,0.2658,0.5943468684,265.8,594.3468684194,0.1651604118,0.369309908,872.047272,1949.9569797852,792835200000,3.0890039286,11120.4141428446,6909.7928878136,0.2388244997,92.9027328491,35727636,22200124,27,0,0.240288,3.788,2458000.5,0.3775493600967310,1.958154259500410,5.660561156228660,112.1644170272150,1000.849506520640,1.218854371855340,34.30691815167330,2.697454147145480,2457771.553383360000,82.35082442826080,0.3596944372301360,FALSE
3426410,3426410,21.0,0.1677084622,0.3750075218,167.7084621628,375.0075217981,0.1042091748,0.2330187988,550.2246310023,1230.3396778159,792835200000,20.0192419349,72069.2709657714,44781.0422842595,0.4780869949,185.9758453369,71520800,44440964,16,1,0.0984179,6.469,2458000.5,0.4527922930841960,0.907864592986423,8.278695740027690,114.3798292883880,315.9585012447700,0.4967905021181500,7.392326563703370,1.318938683854700,2457968.757085860000,36.16756328615700,1.139390136937990,FALSE
3666785,3666785,22.3,0.0921626549,0.2060819612,92.1626548503,206.0819612321,0.057267201,0.1280533543,302.370924539,676.1219416887,792835200000,8.5263208443,30694.755039371,19072.527096547,0.4612592433,179.4298400879,69003400,42876724,29,3,0.0259126,5.372,2458000.5,0.2597323195329090,1.16651991571092,5.035044225594920,28.8520216092119,460.1894557939670,0.8635369922219900,271.6146744029960,1.46950283919985,2457770.912607260000,179.6031185576670,0.7822865028032650,FALSE
3702321,3702321,22.7,0.0766575574,0.1714115092,76.6575573531,171.4115092306,0.0476327831,0.1065101409,251.5011804664,562.3737359442,792835200000,7.9195240447,28510.2865608238,17715.1833355297,0.1072710745,41.7284469604,16047525,9971469,13,4,0.0525422,6.519,2458000.5,0.1514158524079460,0.9137303163513600,5.860414922890070,177.8573023304910,319.0255591799230,0.7753770616300360,90.64125634459160,1.052083571072680,2458138.755972240000,203.9869515937410,1.12843623227369,FALSE
3719196,3719196,26.1,0.0160160338,0.0358129403,16.0160337979,35.8129403019,0.0099518989,0.0222531225,52.5460443254,117.4965270602,792835200000,4.6554785934,16759.7229360863,10413.840065481,0.2554883015,99.3849487305,38220508,23749122,8,5,0.018587,6.360,2458000.5,0.1714328826365060,0.9391389588534730,11.94779476707690,229.0663217594460,332.4246440438000,0.7781396599409750,227.5499749797060,1.100138257765970,2458042.506078220000,314.5094251287650,1.082952201198920,FALSE
